Date,Beijing,Shanghai,Chongqing,Tianjin,Xinyang,Nanchang,Shenzhen,Guangzhou,Changsha,Hangzhou,Wenzhou,Wuhan,Huanggang,Xiaogan,Xiangyang,Jingzhou,Suizhou,Huangshi,Yichang,Jingmen,Ezhou,Xianning,Shiyan,Xiantao,Enshi,Tianmen
2020/1/15,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/16,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/17,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/18,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/19,1,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/20,5,2,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/21,10,9,5,2,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/22,14,16,9,4,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/23,26,16,27,5,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/24,36,20,57,8,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/25,51,33,75,10,5,3,20,14,8,10,10,572,64,26,0,10,5,0,1,21,1,0,5,10,10,3
2020/1/26,67,40,110,15,22,4,31,17,18,27,18,618,122,55,8,33,36,31,31,38,1,43,20,11,17,5
2020/1/27,80,53,132,23,23,8,36,41,22,27,32,698,154,100,36,47,52,36,31,90,20,64,40,12,25,13
2020/1/28,96,66,147,25,29,17,49,51,24,32,60,1590,213,173,70,71,70,53,51,114,57,91,65,27,38,23
2020/1/29,112,96,165,27,32,25,80,63,46,51,114,1905,324,274,131,101,116,86,63,142,84,112,88,32,51,34
2020/1/30,132,112,206,32,42,46,98,94,57,69,172,2261,496,399,163,151,143,113,117,191,123,130,119,55,66,44
2020/1/31,156,135,238,34,49,67,134,112,68,85,227,2639,573,541,286,221,228,168,167,227,189,166,150,90,75,67
2020/2/1,183,169,262,45,70,83,170,150,86,98,241,3215,726,628,347,287,304,209,276,251,227,206,177,97,87,82
2020/2/2,212,193,300,49,88,89,207,179,112,110,265,4109,1002,749,441,333,338,252,353,329,278,246,212,140,105,99
2020/2/3,228,208,337,63,99,103,245,200,125,118,291,5142,1246,918,548,499,458,334,392,345,306,296,256,169,111,115
2020/2/4,253,233,386,67,112,121,271,224,148,132,340,6384,1422,1120,632,613,641,405,452,400,332,348,291,188,123,117
2020/2/5,274,254,389,70,138,134,289,270,164,141,364,8351,1645,1462,735,713,706,509,496,422,384,384,318,225,138,128
2020/2/6,297,,,,,,,,,,,,,,,,,,,,,,,,,
2020/2/7,315,,,,,,,,,,,13603,,,,,,,,,,,,,,
2020/2/8,326,,,,,,,,,,,14982,,,,,,,,,,,,,,
